amount,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Clusters,Category
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,0,Below average
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,0,Below average
458996,Female,Yes,69,No,Homemaker,0.0,Low,1.0,1, Average
459000,Male,Yes,59,No,Executive,11.0,High,2.0,2,Good
459001,Female,No,19,No,Marketing,1.0,Low,4.0,0,Below average
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,2,Good
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,1, Average
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,2,Good
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,2,Good
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,0,Below average
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,0,Below average
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,0,Below average
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,2,Good
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,0,Below average
459032,Male,No,18,No,Doctor,0.0,Low,3.0,0,Below average
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,1, Average
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,0,Below average
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,2,Good
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,2,Good
459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,1, Average
459056,Male,Yes,63,No,Executive,1.0,High,3.0,1, Average
459057,Male,Yes,69,No,Lawyer,1.0,High,2.0,1, Average
459058,Male,No,42,Yes,Artist,0.0,Low,4.0,2,Good
459059,Male,Yes,79,No,Executive,1.0,High,2.0,1, Average
459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,0,Below average
459064,Male,Yes,27,No,Executive,5.0,High,4.0,0,Below average
459065,Male,Yes,52,Yes,Engineer,1.0,Low,2.0,2,Good
459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,0,Below average
459077,Female,Yes,79,No,Lawyer,1.0,High,2.0,1, Average
459079,Male,Yes,87,Yes,Lawyer,1.0,High,2.0,1, Average
459080,Male,Yes,89,No,Lawyer,1.0,Low,2.0,1, Average
